Key,Heidesleutel,,,,,,
Titel,Veldsleutel voor Heide,,,,,,
Versie,versie2_20230731,,,,,,
Auteurs,xxyy,,,,,,
STEP,TYPE,NAME,NEXT_STEP,CLASSIFICATION,BWK_CODE,SUBKEY,REMARK
24,A,"Ven(oever): pijpenstro vormt (hoge) verspreid staande bulten met ruime open slenken; de gezamenlijke bedekking van deze slenken met open water, waterveenmos, veelstengelige waterbies, knolrus is ≥ 70%",SLEUTEL,,,WATEREN,
24,A,"Verland ven: pijpenstro vormt (hoge) verspreid staande bulten met ertussen permanent natte slenken; de gezamenlijke bedekking van deze slenken met open water, waterveenmos, veelstengelige waterbies, knolrus is 50 à 70%",,,cm/ao…,,Raadpleeg de watersleutel (Scheers et al. 2016) om het waterbiotoop te typeren
24,A,anders,26,,,,
25,Q,,,,,,
25,A,"Op profielloos landduinen, met aandeel pioniersvegetaties van korstmossen, ruig haarmos, grijs kronkelsteeltje, buntgras, zandstruisgras, zandzegge, heidespurrie, klein tasjeskruid, vroege haver > aandeel struikhei.",,2330_bu,cm,,"Indien ≥ 10% open zand, dan wordt dm als eenh2 (kwaliteitsindicator) toegevoegd."
25,A,Anders,,2310,cm,,
,,,,,,,
26,Q,,,,,,
26,A,"Op vochtige tot natte bodem; pijpenstro vormt een ogenschijnlijk alles bedekkend geheel van hoge bulten met natte slenken waarin veenmossen, gewone dophei of typische soorten van natte heide (veenpluis, beenbreek, zonnedauw, witte snavelbies, klokjesgentiaan of veenbies) aanwezig zijn",,4010,cm,,
26,A,"Op natte bodem met abundant bultvormende veenmossen (S. papillosum, S. magellanicum, S. rubellum); kleine veenbes, lavendelhei of eenarig wollegras kunnen aanwezig zijn",,7140_oli,cm + ces°,,andere veenmossoorten zoals S. fallax en S. auriculatum zijn dan meestal ook abundant aanwezig
26,A,"Op droge bodem; geen uitgesproeken bulten-slenkenpatroon; soorten van droge heide (struikhei, blauwe bosbes, rode dophei, …) min. frequent aanwezig en typische soorten van natte heide (veenpluis, beenbreek, zonnedauw, witte snavelbies, klokjesgentiaan of veenbies ) afwezig",,4030,cm,,
26,A,Anders,27,,,,
,,,,,,,
27,Q,De door Pijpenstrootje gedomineerde vegetatie maakt deel uit van:,,,,,
27,A,een groter heideterrein,,"4010,4030",cm,,
27,A,een open plek omgeven door bos,29,,,,
27,A,een tijdelijke kapvlakte op kleine open plek (< 1000 m²) in het bos,SLEUTEL,,,BOSSEN_STRUWELEN,
27,A,de ondergroei van een (recente) bos(aanplant),SLEUTEL,,,BOSSEN_STRUWELEN,
,,,,,,,
28,Q,,,,,,
28,A,"Aanwezigheid van rode bosbes, in combinatie met grote wolfsklauw, klein wintergroen, veenmossen, gewone dophei, dubbelloof, stippelvaren.",,4010,cm + cv,,
28,A,Anders,,4030,cm + cv,,
29,Q,,,,,,
29,A,Struikhei minstens frequent aanwezig,,4030,cm,,
29,A,Struikhei afwezig of hooguit occasioneel aanwezig,,geen habitat,cm,,
,,,,,,,
35,T1,heide met jeneverbes - Juniperus heathland                                ,,,,,
35,Q,,,,,,
35,A,Bedekking boomlaag (excl. jeneverbes) < 50%,36,,,,
35,A,Bedekking boomlaag  (excl. jeneverbes) ≥ 50%,SLEUTEL,,,BOSSEN_STRUWELEN,
36,Q,,,,,,
36,A,Minimaal 10 jeneverbesstruiken komen (deels) gegroepeerd voor en bedekken ≥ 10% (minimum oppervlakte = 400 m²),,5130_hei,c.. + jun,,Volg ook stap 1b voor het bepalen van het BWK-deel c..
36,A,"Jeneverbes aanwezig, maar in lagere aantallen of zeer ijl verspreid",3,,,,"Bij aanwezigheid, het aantal Jeneverbessen vermelden in infoveld."
37,Q,,,,,,
37,A,Autochtone populatie binnen het gekende areal (zie Figuur 1),,5130_hei,c.. + jun,,Volg ook stap 1b voor het bepalen van het BWK-deel c..
37,A,Geen zeer recente (< 10j) aanplant EN er is een plan tot herintrodoctie EN er is (actie tot het bevorderen van) verjonging,,5130_hei,c.. + jun,,Volg ook stap 1b voor het bepalen van het BWK-deel c..
37,A,Anders,3,,,,Vermeld het aantal Jeneverbessen in infoveld
38,Q,,,,,,
38,A,Recent verbost jeneverbesstruweel: minimaal 10 jeneverbesstruiken komen gegroepeerd voor en bedekken ≥ 10%,,5130_hei,sz/c. + jun,,Volg ook stap 1b voor het bepalen van het BWK-deel c..
38,A,"Recent verboste heide met jeneverbes, maar < 10 exemplaren of zeer ijl verspreid",41,,,,"Bij aanwezigheid, het aantal Jeneverbessen vermelden in infoveld."
,,,,,,,
40,T1,Recent verboste heide,,,,,
40,T2,"Bedekking van struiken en jonge bomen (< 6m) ≥ 50% met minder dan 10% bedekking van hogere (> 6m) bomen en struiken en aandeel typisch soorten van open heide (dwergstruiken, beenbreek, veenpluis, buntgras) ≥ pijpenstrootje, bochtige smele, struisgras, varens en bosplanten",,,,,
40,Q,,,,,,
40,A,Jeneverbes aanwezig,38,,,,
40,A,Jeneverbes afwezig,41,,,,
41,Q,,,,,,
41,A,"Op profielloos landduin of met frequent typische soorten van binnenlands (stuif)duin (korstmossen, ruig haarmos, buntgras, zandzegge, klein tasjeskruid, vroege haver)",,gh,sz/cg + boomcode,,
41,A,Op andere droge bodems; ondergroei gedomineerd door struikhei en/of blauwe bosbes,,gh,sz/cg + boomcode,,Vermeld meest aanwezige (max. 2) boom- en/of struiksoort(en)
41,A,"Op vochtige tot natte bodems; ondergroei gedomineerd door gewone dophei, veenpluis, gagel, veenmossen",42,,,,
42,Q,,,,,,
42,A,Gagel is (co)dominant in struiklaag,80,,,,
42,A,Anders,,gh,sz/ce + boomcode,,Vermeld meest aanwezige (max. 2) boom- en/of struiksoort(en)
,,,,,,,
,,,,N2000 habitattype,BWK code,,Opmerking
50,T1,Open heide en landduin,,,,,
50,Q,,,,,,
50,A,"De vegetatie wordt vooral gedomineerd door dwergstruiken, pijpenstrootje, veenmossen en/of veenpluis",51,,,,"dwergstruiken = Calluna, Erica, Vaccinium, Genista"
50,A,"Onbegroeid tot grotendeels gefixeerd landduin en pioniersvegetaties op weinig humeuze zand- (of lichte leem)grond. De aanwezige vegetatie wordt vooral gedomineerd door grijs kronkelsteeltje, haarmossen, korstmossen, éénjarigen, zandstruisgras, buntgras en/of zandzegge.",60,,,,
50,A,Open (pioniers)vegetaties op brand- en plagplekken,70,,,,Indien duidelijke sporen van recente brand of plagwerken; bij twijfel -> 60
,,,,,,,
51,T2,Open heide,,,,,
51,Q,,,,,,
51,A,Veenmosrijke heide met Sphagnum rubellum + slijkzegge,,7110,t,,Enkel bekend van Ven onder de Berg
51,A,Veenmosrijke heide met bultvormende veenmossen abundant (dikwijls is ook Beenbreek abundant aanwezig),52,,,,
51,A,"Heischraal grasland: aandeel heischrale soorten (tandjesgras, borstelgras, fijn schapenras, trekrus, tormentil, kruipganzerik, liggende vleugeltjesbloem, heidekartelblad, bleke zegge, veelbloemige veldbies, liggend walstro, tweenervige zegge, gevlekte orchis) > heidesoorten (dwergstruiken, veenmos, beenbreek, zonnedauw, snavelbiezen, veenbies)",SLEUTEL,6230,,GRASLAND,
51,A,Anders,53,,,,
,,,,,,,
52,Q,,,,,,
52,A,"Veenmosrijke heide met aanwezigheid van kleine veenbes, lavendelheide en/of eenarig wollegras",,7140_oli,ces,,
52,A,Veenmosrijke heide met hoogveenveenmossen (Sphagnum magellanicum en/of S. rubellum),,7140_oli,ces,,
52,A,"Veenmosrijke heide met abundant voorkomen van veenmosbulten van S. papillosum, zonder de hierboven vermelde soorten",,7140_oli,ces°,,andere veenmossen zoals S. auriculatum en S. fallax zijn meestal ook abundant aanwezig
52,A,Anders,53,,,,
,,,,,,,
53,Q,,,,,,
53,A,"Struikhei dominant en typische natte heidesoorten (veenpluis, beenbreek, zonnedauw, witte snavelbies, klokjesgentiaan of veenbies) < frequent",54,,,,
53,A,Blauwe en/of rode bosbes (co)dominant in de dwergstruiklaag,55,,,,
53,A,"Vochtige/natte bodem met dwergstruikenvegetatie van gewone dophei (dikwijls ook struikhei), vaak met goed ontwikkelde moslaag met veenmossen (o.a. S. compactum, S. molle, S. tenellum); ook pijpenstrootje, kleine en ronde zonnedauw, veenpluis, witte snavelbies, veenbies, beenbreek, klokjesgentiaan en/of tweenervige zegge",56,,,,
